kode,nama_produk,unit,trx_count,qty_sum,qty_mean,qty_median,qty_std,qty_max,qty_p75,qty_p95,outlier_jumlah_beli,permintaan_kategori
A000001,ANATON TAB,STRIP,20,48.0,2.4,1.0,3.283130726672493,10.0,1.0,10.0,0,1
A00000156,zz,BTL,4,8.0,2.0,1.5,1.4142135623730951,4.0,2.5,3.6999999999999993,0,1
A00000157,z,BTL,8,12.0,1.5,1.0,0.9258200997725515,3.0,1.5,3.0,0,0
A000002,ASEPTIC PLUS SPRAY,BTL,3,6.0,2.0,2.0,1.0,3.0,2.5,2.9,0,1
A00001,ACTIVED HIJAU,BTL,29,39.0,1.3448275862068966,1.0,0.5526470114022356,3.0,2.0,2.0,0,0
A000011,ALLERIN EXP,BTL,4,6.0,1.5,1.0,1.0,3.0,1.5,2.6999999999999993,0,0
A000012,APIALYS SYR 100 ML,BTL,32,34.0,1.0625,1.0,0.24593468841898236,2.0,1.0,1.4499999999999993,0,0
A000014,ALKOHOL 1000 ML,BTL,29,45.0,1.5517241379310345,1.0,1.15220927217956,6.0,1.0,3.0,0,0
A000016,ALLOPURINOL 300,STRIP,191,448.0,2.345549738219895,1.0,4.2085087478117265,30.0,2.0,10.0,0,1
A000018,ATORVASTATIN 10MG,STRIP,16,36.0,2.25,1.0,2.016597794967223,7.0,3.0,7.0,0,1
A00002,ACTIVED KUNING,BTL,4,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0
A00003,ACTIVED MERAH,BTL,43,54.0,1.255813953488372,1.0,0.492468188763012,3.0,1.0,2.0,0,0
A00004,ACYCLOVIR 200MG,STRIP,30,57.0,1.9,1.0,1.604949241865772,5.0,1.75,5.0,0,1
A000040,MEFIX 500MG,STRIP,36,73.0,2.0277777777777777,1.0,2.8634256318623588,10.0,1.0,10.0,0,1
A00005,ACYCLOVIR 400MG,STRIP,93,220.0,2.3655913978494625,1.0,2.7575388610788387,15.0,2.0,10.0,0,1
